SN,Type,t_p,L_p,Arnett Nickel,Khatami Nickel,Tail Nickel
SN1993J,IIb,21.89,17.2,0.1,0.06,0.05
SN2004ex,IIb,20.86,13.34,0.08,0.04,0.05
SN2004ff,IIb,15.33,19,0.08,0.05,None
SN2004gq,Ib,12.42,13.81,0.05,0.04,0.05
SN2004gv,Ib,22.38,18.79,0.12,0.08,None
SN2005aw,Ic,12.01,27.48,0.1,0.07,None
SN2005em,Ic,13.43,15.66,0.06,0.05,None
SN2005hg,Ib,18.93,19.63,0.1,0.07,0.07
SN2005kl,Ic,18.49,6.57,0.03,0.02,0.02
SN2005mf,Ic,10.98,15.45,0.05,0.04,None
SN2006aj,Ic-GRB,10.18,50.24,0.15,0.12,None
SN2006ba,IIb,20.91,13.77,0.08,0.04,None
SN2006ep,Ib,14.58,10.32,0.04,0.03,None
SN2006fo,Ib,24.53,28.93,0.2,0.13,None
SN2006lc,Ib,25.98,17.11,0.12,0.08,None
SN2006T,IIb,23.53,16.19,0.11,0.06,0.05
SN2007C,Ib,20.45,10.94,0.06,0.04,0.03
SN2007gr,Ic,13.22,12.97,0.05,0.04,0.03
SN2007kj,Ib,18.16,10.35,0.05,0.04,0.03
SN2007uy,Ib,19.36,37.94,0.21,0.14,0.1
SN2007Y,Ib,20.18,4.81,0.03,0.02,None
SN2008aq,IIb,20.59,6.25,0.04,0.02,0.02
SN2008ax,IIb,21.87,7.68,0.05,0.02,0.02
SN2008D,Ib,20.42,13.96,0.08,0.05,0.04
SN2008hh,Ic,11.18,17.38,0.06,0.04,None
SN2009bb,Ic-BL,12.77,44.62,0.17,0.12,0.08
SN2009iz,Ib,28.84,12.85,0.1,0.07,0.07
SN2009jf,Ib,21.65,28.16,0.17,0.12,0.11
SN2009K,IIb,27.06,19.95,0.15,0.08,None
SN2010as,IIb,17.68,30.46,0.15,0.09,0.09
SN2010bh,Ic-GRB,9.24,37.86,0.11,0.09,None
SN2011fu,IIb,22.3,23.24,0.14,0.08,None
SN2011dh,IIb,20.25,11.01,0.06,0.03,0.04
SN2011hs,IIb,17.29,8.49,0.04,0.02,None
SN2013df,IIb,21.92,16.28,0.1,0.05,0.06
SN2016coi,Ic-BL,19.49,25.87,0.14,0.1,0.1
SN2017czd,IIb,14.5,6.22,0.03,0.02,None