2452939.22,16.48,0.05,B
2452940.23,16.39,0.02,B
2452941.15,16.43,0.04,B
2452942.2,16.35,0.02,B
2452943.41,16.33,0.03,B
2452944.88,16.41,0.05,B
2452946.19,16.53,0.2,B
2452955.24,17.73,0.25,B
2452955.84,17.61,0.07,B
2452956.24,17.82,0.1,B
2452956.74,17.69,0.1,B
2452957.24,17.86,0.04,B
2452957.67,17.96,0.12,B
2452958.67,17.95,0.08,B
2452958.94,18.03,0.03,B
2452958.94,18.03,0.03,B
2452959.68,18.1,0.1,B
2452960.24,18.02,0.06,B
2452960.68,18.26,0.12,B
2452961.68,18.17,0.05,B
2452962.24,18.32,0.12,B
2452962.67,18.27,0.06,B
2452962.85,18.39,0.06,B
2452963.24,18.32,0.09,B
2452964.24,18.33,0.08,B
2452967.24,18.68,0.23,B
2452968.24,18.52,0.16,B
2452968.67,18.73,0.08,B
2452969.24,18.71,0.07,B
2452969.72,18.71,0.13,B
2452971.24,18.69,0.05,B
2452972.43,18.68,0.06,B
2452973.24,18.82,0.28,B
2452973.68,18.91,0.14,B
2452977.24,18.85,0.1,B
2452979.24,18.95,0.08,B
2452981.77,18.93,0.22,B
2452983.69,19.13,0.21,B
2452984.72,19.05,0.12,B
2452984.72,19.2,0.29,B
2452985.67,19.12,0.1,B
2452986.82,19.11,0.21,B
2452992.24,19.19,0.1,B
2452992.24,19.18,0.07,B
2452994.24,19.26,0.17,B
2453001.44,19.39,0.15,B
2453018.24,19.73,0.17,B
2453019.24,19.62,0.22,B
2453021.24,19.6,0.24,B
2453023.24,19.72,0.21,B
2453259.6,23,0.21,B
2453324.52,23.9,0.31,B
2453730.6,21.6,0,B
2452939.22,16.24,0.23,V
2452940.23,16.12,0.24,V
2452941.15,16.1,0.04,V
2452942.2,15.98,0.02,V
2452943.41,16.06,0.05,V
2452944.88,16.01,0.02,V
2452946.19,16,0.03,V
2452955.24,16.56,0.05,V
2452955.84,16.55,0.03,V
2452956.24,16.72,0.03,V
2452956.74,16.6,0.06,V
2452957.24,16.68,0.03,V
2452957.67,16.75,0.02,V
2452958.67,16.79,0.06,V
2452958.94,16.85,0.02,V
2452958.94,16.85,0.02,V
2452959.68,16.93,0.05,V
2452960.24,16.92,0.03,V
2452960.68,17.09,0.07,V
2452961.68,17.06,0.05,V
2452962.24,17.11,0.08,V
2452962.67,17.1,0.02,V
2452962.85,17.13,0.04,V
2452963.24,17.08,0.04,V
2452964.24,17.16,0.02,V
2452965.24,17.25,0.04,V
2452967.24,17.4,0.14,V
2452968.24,17.38,0.07,V
2452968.67,17.52,0.04,V
2452969.24,17.51,0.04,V
2452969.72,17.55,0.03,V
2452970.67,17.61,0.03,V
2452971.24,17.63,0.04,V
2452972.43,17.67,0.1,V
2452973.24,17.76,0.26,V
2452973.68,17.73,0.06,V
2452977.24,17.9,0.08,V
2452979.24,17.94,0.04,V
2452980.24,18.01,0.05,V
2452981.77,18.08,0.12,V
2452982.77,18.12,0.17,V
2452983.69,18.09,0.08,V
2452983.69,18.22,0.12,V
2452984.72,18.14,0.05,V
2452984.72,18.12,0.06,V
2452985.67,18.15,0.04,V
2452986.69,18.32,0.21,V
2452986.82,18.13,0.16,V
2452989.69,18.22,0.1,V
2452990.68,18.25,0.05,V
2452991.67,18.28,0.06,V
2452992.24,18.29,0.07,V
2452992.24,18.31,0.16,V
2452993.24,18.4,0.08,V
2452994.24,18.43,0.1,V
2452998.78,18.51,0.11,V
2453001.44,18.55,0.15,V
2453006.67,18.71,0.11,V
2453011.24,18.73,0.12,V
2453013.71,18.84,0.15,V
2453014.24,18.77,0.15,V
2453016.71,18.89,0.05,V
2453018.24,18.86,0.15,V
2453019.24,18.92,0.17,V
2453021.24,18.97,0.12,V
2453022.69,18.96,0.09,V
2453023.24,18.8,0.11,V
2453025.24,18.93,0.27,V
2453259.6,23.38,0.4,V
2453324.52,24.38,0.35,V
2453730.6,21.3,0.1,V
2452929.2,19.0,0.08,0,R
2452939.22,16.15,0.02,R
2452940.23,16.02,0.02,R
2452941.15,16.01,0.03,R
2452942.2,15.92,0.02,R
2452943.41,15.91,0.05,R
2452944.88,15.93,0.02,R
2452946.19,15.84,0.03,R
2452955.24,16.19,0.05,R
2452955.84,16.2,0.04,R
2452956.24,16.31,0.08,R
2452956.74,16.2,0.03,R
2452957.24,16.24,0.11,R
2452957.67,16.38,0.03,R
2452958.67,16.41,0.07,R
2452958.94,16.42,0.02,R
2452958.94,16.45,0.02,R
2452959.68,16.5,0.09,R
2452960.24,16.56,0.03,R
2452960.68,16.63,0.07,R
2452961.68,16.63,0.05,R
2452962.24,16.67,0.08,R
2452962.67,16.7,0.1,R
2452962.85,16.73,0.02,R
2452963.24,16.73,0.03,R
2452964.24,16.82,0.02,R
2452965.24,16.89,0.02,R
2452967.24,16.97,0.08,R
2452968.24,17.04,0.11,R
2452968.67,17.15,0.04,R
2452969.24,17.15,0.05,R
2452969.72,17.23,0.03,R
2452970.67,17.22,0.04,R
2452971.24,17.27,0.03,R
2452972.43,17.22,0.1,R
2452973.24,17.42,0.27,R
2452973.68,17.44,0.03,R
2452979.24,17.63,0.03,R
2452980.24,17.68,0.04,R
2452981.77,17.68,0.05,R
2452982.77,17.75,0.08,R
2452983.69,17.81,0.05,R
2452983.69,17.81,0.06,R
2452984.72,17.77,0.04,R
2452984.72,17.82,0.03,R
2452985.67,17.83,0.04,R
2452986.69,17.9,0.06,R
2452986.82,17.83,0.08,R
2452989.69,17.94,0.04,R
2452990.68,18,0.03,R
2452991.67,18,0.06,R
2452992.24,17.97,0.05,R
2452992.24,18.07,0.05,R
2452993.24,18.08,0.09,R
2452994.24,18.16,0.25,R
2452998.78,18.28,0.21,R
2453001.44,18.27,0.16,R
2453006.67,18.41,0.12,R
2453011.24,18.47,0.11,R
2453013.71,18.56,0.14,R
2453014.24,18.58,0.25,R
2453016.71,18.6,0.05,R
2453018.24,18.6,0.13,R
2453019.24,18.54,0.17,R
2453020.69,18.7,0.1,R
2453021.24,18.6,0.16,R
2453022.69,18.7,0.11,R
2453023.24,18.66,0.16,R
2453025.24,18.81,0.17,R
2453259.6,21.92,0.31,R
2453324.52,23.61,0.5,R
2453730.6,20.6,0,R
2452939.22,15.91,0.03,I
2452940.23,15.8,0.02,I
2452941.15,15.81,0.04,I
2452942.2,15.68,0.02,I
2452943.41,15.71,0.1,I
2452944.88,15.59,0.02,I
2452946.19,15.58,0.06,I
2452955.24,15.71,0.06,I
2452955.84,15.82,0.02,I
2452956.74,15.78,0.03,I
2452957.67,15.88,0.03,I
2452958.67,16.03,0.06,I
2452958.94,15.91,0.02,I
2452958.94,15.91,0.02,I
2452959.68,16.05,0.06,I
2452960.24,16,0.02,I
2452960.68,16.07,0.06,I
2452961.68,16.16,0.1,I
2452962.24,16.2,0.08,I
2452962.67,16.19,0.1,I
2452962.85,16.11,0.02,I
2452963.24,16.14,0.03,I
2452964.24,16.26,0.03,I
2452965.24,16.31,0.07,I
2452967.24,16.41,0.05,I
2452968.24,16.49,0.07,I
2452968.67,16.6,0.05,I
2452969.24,16.49,0.05,I
2452969.72,16.53,0.03,I
2452970.67,16.69,0.06,I
2452971.24,16.66,0.03,I
2452972.43,16.66,0.05,I
2452973.24,16.79,0.32,I
2452973.68,16.8,0.04,I
2452979.24,16.92,0.03,I
2452980.24,16.9,0.04,I
2452981.77,16.98,0.03,I
2452982.77,17.05,0.07,I
2452983.69,17.12,0.07,I
2452983.69,16.92,0.13,I
2452984.72,17.09,0.04,I
2452984.72,17.14,0.04,I
2452985.67,17.15,0.05,I
2452986.69,17.09,0.11,I
2452986.82,17.12,0.08,I
2452989.69,17.31,0.08,I
2452990.68,17.31,0.04,I
2452991.67,17.29,0.03,I
2452992.24,17.28,0.07,I
2452992.24,17.37,0.1,I
2452993.24,17.33,0.1,I
2452994.24,17.3,0.16,I
2452998.78,17.54,0.08,I
2453001.44,17.59,0.19,I
2453006.67,17.72,0.08,I
2453013.71,17.98,0.12,I
2453016.71,18.01,0.11,I
2453018.24,18.07,0.21,I
2453019.24,18.11,0.23,I
2453021.24,18.08,0.26,I
2453022.69,18.31,0.16,I
2453023.24,18.3,0.17,I
2453730.6,21.2,0.1,I