arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.066492131147914718; 0.0081246477098537648,V; I; r,V; r,,0.79239858466811308; 0.15351720772439179,31400000.0; 2180000.0,0.0193; 0.0002,0.47; 0.037,NGC 2770,,SN2008D,(0.046116055373471472; 0.0056349029157161364),42.093022401714975; 41.180056687672405,19.299999999999969,0.111; 0.167; 0.059,42.333; 0.393; 0.325,19.293; 0.229,1.0,Ib,4,4,54474.56399999978; None,3.2663841929799817; 0.058247626265285082,0.035534734357943368; 0.00055532201447235476,,1
0.1476866492149535; 0.018087457798193103,V; R,V; R,,0.73078667466861813; 0.14134889611517884,8580000.0; 100000.0,0.0309; 0.0017,0.07; 0.061,M51,,SN2011dh,(0.079517241850960041; 0.009738624065568734),42.399039293843948; 41.48707558754861,21.29999999999994,0.075; 0.011; 0.006,42.246; 0.057; 0.036,15.712; 0.017,1.0,IIb,17,17,55712.0; None,3.2971760219225534; 0.054838669699818571,0.072387157377270417; 0.0010818803444069653,,1
0.1253947479988069; 0.028139153154887193,V; R,B; V,r,0.61155486065068454; 0.26649028269118497,9200000.0; 640000.0,0.0188; 0.0002,0.25; 0.04,NGC 4490,0.0,SN2008ax,(0.067293458265603998; 0.015100958841401058),42.322269195514515; 41.673300871761306,21.599999999999941,0.109; 0.021; 0.014,42.326; 0.075; 0.056,19.283; 0.127,1.0,IIb,12,17,54528.299999999814; None,3.4381370210863378; 0.053294964240453241,0.053234922653872169; 0.00068453416085785914,7.0,1
0.08640081556237561; 0.0072272479346690505,V; I,B; V,,1.0301476506834752; 0.12828037937379994,19700000.0; 1380000.0,0.0166; 0.0002,0.2; 0.17,NGC 613,,SN2016gkg,(0.050774593946800492; 0.0042471888355122365),42.288716688687913; 41.21117180043985,15.799999999999979,,,,0.4,IIb,1;  8,1,57655.2080000001; None,3.7746020223791055; 0.59935775662668922,0.058298183886717841; 0.0024960217174172438,,1
0.11674910493429612; 0.023168661343812687,V; I,V; R,,0.61620959275028175; 0.21979347262198376,17900000.0; 1000000.0,0.0168; 0.0002,0.1; 0.04,NGC 4414,,SN2013df,(0.061562772045966996; 0.012217027425795291),42.257255165865857; 41.554902547690446,23.499999999999972,0.144; 0.028; 0.019,42.397; 0.074; 0.058,21.793; 0.103,0.7,IIb,8,8,56447.299999999814; 0.9,3.9031050372089835; 0.064892946227042572,0.048897284393709155; 0.00056054165844346166,,1
0.25750890674886678; 0.030692939407871381,V; I,V; R,,0.74864894289670025; 0.13581654159287426,3600000.0; 200000.0,0.069; 0.0001,0.3; 0.04,M81,,SN1993J,(0.13819290796366579; 0.016471455703327847),42.634782103583134; 41.711028330545389,21.599999999999959,0.146; 0.042; 0.027,42.456; 0.109; 0.088,19.148; 0.033,1.0,IIb,16,11,49074.0; 0.9,3.4261806902623735; 0.067642287186581745,0.12786036407352819; 0.0016864530182020613,,1
0.084868695781388948; 0.0092633633082648045,V; I,V; R,r,0.62614029197515564; 0.13468336741721104,23900000.0; 1670000.0,0.0436; 0.0006,0.1; 0.04,NGC 5806,0.0,iPTF13bvn,(0.060456141800672575; 0.0065987488149713515),42.253644638132457; 41.291665807294898,16.899999999999977,0.070; 0.012; 0.006,42.211; 0.067; 0.037,15.953; 0.098,1.0,Ib,1; 2,2,56458.669999999925; 0.9,2.921001023948318; 0.10193020112263847,0.041210036590912373; 0.0011402544709689518,7.0,1
0.30623370789752341; 0.041456203206801275,V; I,V; R,B,0.87521145694701463; 0.15973501573477189,33800000.0; 2350000.0,0.097; 0.0013,0.07; 0.065,NGC 7479,0.0,SN2009jf,(0.20621518256707852; 0.027916255762703932),42.681178820614114; 41.812715352196776,23.199999999999935,0.271; 0.051; 0.035,42.682; 0.072; 0.057,21.267; 0.164,1.0,Ib,5; 8,8,55099.0; 1.0,4.9677634201137257; 0.10758596939248515,0.1679620519434869; 0.0013678771642161548,7.0,1
0.11643301628559473; 0.03211950989613864,B; V,V; R,V,816.0036075739223; 25763.554385895917,23700000.0; 1650000.0,0.0198; 0.0002,0.1; 0.1,NGC 3287,0.0,SN2013ge,(0.082837449872200583; 0.022851750953653008),42.38856230484415; 41.829255066373157,16.999999999999957,0.109; 0.032; 0.023,42.335; 0.077; 0.064,18.878; 1.697,4.5,Ib,2,2,56602.5; 2.0,3.6895783378839946; 0.104440030645228,0.063686690756628; 0.0013715739463463518,7.0,1
0.12419977020772155; 0.020535992587966893,V; I,V; R,V,-0.28324629878485585; 0.28550460374025599,8580000.0; 100000.0,0.0308; 0.0015,0.4; 0.04,M51,0.0,SN1994I,(0.10005816531080994; 0.016544263630695603),42.63025440538145; 41.848649311978313,9.5000000000000053,0.102; 0.164; 0.059,42.473; 0.409; 0.363,12.252; 0.211,0.4,Ic,6,6,49441.939999999944; 2.0,1.9502553493028782; 0.1070795689395366,0.044767387372732372; 0.0031390016771850092,7.0,1
0.1494082993051544; 0.03088058117201533,V; I,V; R,V,1.7552387849626132; 0.66724702596536656,73600000.0; 5000000.0,0.0184; 0.0009,0.37; 0.08,NGC 3997,0.0,SN2004aw,(0.12085747491546717; 0.024979529796730217),42.717095679609677; 42.03240642250443,9.2999999999999847,NA,42.659; 0.063; 0.056,NA,2.0,Ic,8,8,53081.0; 3.0,3.4585421281211888; 0.28745435311257855,0.15132229922878879; 0.0056524346878468251,7.0,1
0.69085812240315003; 0.08472461661892712,V; I,V; R,,0.44096743788317244; 0.1387146289158567,38100000.0; 2650000.0,0.0494; 0.0011,0.0; 0.02,ESO 184-G82,,SN1998bw,(0.49275289856182608; 0.06042962956459761),43.166708730396486; 42.255329474769226,16.799999999999958,0.496; 0.091; 0.047,43.061; 0.080; 0.046,15.861; 0.177,0.6,Ic,12,10; 12,50928.89999999991; 3.0,3.5772536263020402; 0.047973802089984315,0.28722575677531248; 0.0030293241094989797,,1
0.26030840986898385; 0.029277707438371339,V; I,V; R,V,-0.021851925032009986; 0.15651535550151299,60900000.0; 4220000.0,0.2217; 0.0046,0.0; 0.02; UGC 1238,0.0,SN2007ru,(0.20362822284564264; 0.022902708128680255),42.903640440975657; 41.954689308468055,11.000000000000009,0.323; 0.044; 0.024,43.033; 0.054; 0.032,10.242; 0.047,1.0,Ic,8,8,54429.5; 3.0,3.5447243068902172; 0.059453656170668612,0.1001322547475899; 0.0013577904727278417,7.0,1
0.25707131918382475; 0.051918776447261707,V; I,V; R,B,0.36431303076477811; 0.26807196121211985,40100000.0; 2830000.0,0.0847; 0.001,0.4; 0.08,NGC 3278,0.0,SN2009bb,(0.18878015525983458; 0.038126519557812329),42.790993948947218; 42.096264771808769,14.70000000000001,0.258; 0.119; 0.073,42.863; 0.162; 0.143,12.631; 0.095,2.5,Ic,6,6,54909.10000000009; 0.6,2.5037526146914142; 0.13458783500504645,0.10487687695389777; 0.0055201961131052949,7.0,1
0.32442868788548407; 0.047132311144642954,V; I,V; R,B,0.81272781721056131; 0.21130531498842775,18100000.0; 1260000.0,0.0737; 0.0021,0.27; 0.08,UGC 11868,0.0,SN2016coi,(0.23199021967725503; 0.0337030466929669),42.843320065629108; 42.005519551549376,16.599999999999959,,,,2.5,Ic,1,1,57534.189999999944; 1.5,3.8079801349106388; 0.074978086805092894,0.18231972825848161; 0.0026619166577263867,7.0,1
0.053669825259757033; 0.0058196184428345402,V; I,V; R,,1.7014531276581202; 0.66819266310191072,9770000.0; 500000.0,0.0616; 0.0018,0.01; 0.02,M74,,SN2002ap,(0.049973260492722223; 0.0054187861988454983),42.50081501071989; 41.53597934094504,3.0000000000000018,0.094; 0.013; 0.006,42.415; 0.055; 0.028,13.011; 0.000,0.7,Ic,12,11; 12,52310.799999999814; 0.5,3.3806652575866236; 0.093086638998204671,0.054906368845964518; 0.0014384423496903685,,1
0.10393147510336388; 0.025775197477589707,V; I,V; R,V,0.60834008734425093; 0.65751693194678018,8970000.0; 630000.0,0.0532; 0.0005,0.15; 0.11,NGC 1058,0.0,SN2007gr,(0.07620736129499267; 0.01889956612923015),42.39501490293646; 41.789469812979299,14.799999999999983,0.073; 0.020; 0.013,42.299; 0.099; 0.079,13.146; 0.229,3.5,Ic,9,9,54323.5; 2.0,3.9815204403821411; 0.065927560235917712,0.050719012496294041; 0.00055771495677678612,7.0,1
